k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.062,0.0,0.04081632653061224,0.06,0.061224489795918366,1.0,0.06012000000000001,0.06,0.0004797958749641909
3,0.116,0.02040816326530612,1.0,0.112,0.0,0.0,0.11591999999999998,0.116,0.0005656854249492385
5,0.162,0.08163265306122448,1.0,0.15,0.0,0.0,0.16164,0.162,0.0017468338705866036
10,0.234,0.0,0.0,0.224,0.04081632653061224,1.0,0.22424,0.224,0.0014365491531401764
