k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.13,0.02040816326530612,0.061224489795918366,0.12,0.0,1.0,0.1206,0.12,0.0023989793748209545
3,0.22,0.0,0.0,0.19,0.02040816326530612,1.0,0.19059999999999996,0.19,0.004242640687119284
5,0.28,0.0,0.02040816326530612,0.25,0.08163265306122448,1.0,0.2516,0.25,0.006180945043652559
10,0.37,0.02040816326530612,0.061224489795918366,0.34,0.0,0.0,0.36019999999999996,0.36,0.0037742413753208276
