k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.12,0.02040816326530612,0.9591836734693877,0.11,0.0,1.0,0.11900000000000001,0.12,0.0030304576336566305
3,0.22,0.8979591836734693,0.9183673469387754,0.19,0.0,1.0,0.1956,0.19,0.009510466844053277
5,0.27,0.9795918367346939,0.9795918367346939,0.22,0.0,0.0,0.23259999999999997,0.23,0.008762163557254659
10,0.34,1.0,1.0,0.3,0.1020408163265306,0.22448979591836732,0.31600000000000006,0.31,0.01087967586551988
