k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.066,0.7551020408163265,0.9387755102040816,0.06,1.0,1.0,0.06359999999999999,0.064,0.0015649215928719047
3,0.122,0.8571428571428571,0.9387755102040816,0.112,0.0,0.0,0.11608,0.114,0.0029955068393328326
5,0.164,0.9795918367346939,0.9795918367346939,0.15,0.0,0.061224489795918366,0.1546,0.154,0.0034345186514775196
10,0.236,0.4897959183673469,0.4897959183673469,0.224,1.0,1.0,0.23112000000000005,0.233,0.0033844783759910528
