k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.12,0.6938775510204082,0.8163265306122448,0.09,0.0,0.0,0.107,0.11,0.007354021529276425
3,0.16,1.0,1.0,0.13,0.0,0.7959183673469387,0.13360000000000002,0.13,0.0069282032302755096
5,0.19,0.9387755102040816,1.0,0.14,0.0,0.0,0.16160000000000005,0.16,0.009971387638065798
10,0.26,0.8979591836734693,0.8979591836734693,0.21,0.0,0.0,0.2458,0.25,0.009278018789216868
