k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.144,0.8163265306122448,1.0,0.136,0.02040816326530612,0.04081632653061224,0.13944,0.138,0.0024921099985550227
3,0.232,0.7346938775510203,1.0,0.226,0.02040816326530612,0.32653061224489793,0.22856,0.228,0.0022511674975533975
5,0.296,0.9387755102040816,0.9591836734693877,0.282,0.0,0.14285714285714285,0.28624,0.286,0.003467399190006418
10,0.368,0.8775510204081632,0.9795918367346939,0.356,0.0,0.0,0.36103999999999997,0.36,0.003386407403435215
