k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.144,0.02040816326530612,1.0,0.138,0.0,0.0,0.14388,0.144,0.0008485281374238541
3,0.232,0.18367346938775508,1.0,0.23,0.0,0.16326530612244897,0.23164,0.232,0.0007761758689832078
5,0.296,0.02040816326530612,0.02040816326530612,0.282,0.0,0.0,0.29303999999999997,0.294,0.0019055236572037807
10,0.366,0.02040816326530612,0.1020408163265306,0.356,0.0,0.0,0.36404,0.364,0.0013086837132112914
