k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.202,0.02040816326530612,1.0,0.184,0.0,0.0,0.20156,0.202,0.0025647532403086045
3,0.284,0.0,0.0,0.276,0.02040816326530612,1.0,0.27796,0.278,0.0010293647734086698
5,0.334,0.14285714285714285,1.0,0.33,0.04081632653061224,0.04081632653061224,0.33368000000000003,0.334,0.000843704174870481
10,0.402,0.0,0.0,0.392,0.061224489795918366,1.0,0.39227999999999996,0.392,0.0014574229422693555
