k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.202,1.0,1.0,0.176,0.3877551020408163,0.42857142857142855,0.18343999999999996,0.178,0.0079594892667655
3,0.284,0.0,0.0,0.258,0.02040816326530612,0.02040816326530612,0.26676,0.264,0.0062189965723858515
5,0.334,0.9795918367346939,1.0,0.31,0.22448979591836732,0.26530612244897955,0.31544,0.314,0.006034458871974444
10,0.402,0.0,0.0,0.376,0.02040816326530612,0.2040816326530612,0.38092,0.378,0.005717284927198886
