k,max,max_first_lambda,max_last_lambda,min,min_first_lambda,min_last_lambda,mean,median,std
1,0.22,0.9795918367346939,1.0,0.17,0.0,0.2857142857142857,0.18420000000000003,0.18,0.015265005999450678
3,0.29,0.5102040816326531,0.7142857142857142,0.25,0.8979591836734693,0.9183673469387754,0.2742,0.27,0.009495433918790777
5,0.38,0.4081632653061224,0.8979591836734693,0.34,0.0,0.16326530612244897,0.3642,0.37,0.015398118093336162
10,0.45,0.9387755102040816,0.9795918367346939,0.42,0.7346938775510203,0.8571428571428571,0.4302,0.43,0.006543418566056456
